GROEPCODE,LINKCODE,ISLID,VOLGORDE,BEHEERNIVO,LINKBLOKIMAGE
ZH0177,ABERNARD,True,,0,False
&DECOP,@GSECONC,True,,0,False
DBBEH,BUTRECHT,True,,0,True
DBBEH,EPRINS4,True,,0,True
DBBEH,JMOLEN2,True,,0,True
APBDCR,APBDCR,True,,0,False
APBEPD,@GCS0134,True,,0,False
APBMM,APBMM,True,,0,False
APBPDM,@GAPBPCT,True,,0,False
APBTAB,@GCS0134,True,,0,False
APOASS,@GAPOCYT,True,,0,False
BAPAG1,@GBAPAG2,True,,0,False
BAPDW0,BAPDWH,True,,0,False
BAPME0,@GBAPME1,True,,0,False
APBDCR,@GAPBEPD,True,,0,False
BAPPA0,BAPPAT,True,,0,False
BAPVK0,BAPVPK,True,,0,False
BEHEER,@GAPBDBG,True,,0,False
BEHEER,@GAPBMED,True,,0,False
BEHEER,@GAPBSPR,True,,0,False
BEHEER,@GBAPEP0,True,,0,False
BEHEER,@GBAPPR0,True,,0,False
BEHEER,@GBYWERK,True,,0,False
BEHEER,@GCS0154,True,,0,False
COALL,COALL,True,,0,False
COASS,@GCOKNO,True,,0,False
COCHI,COCHI,True,,0,False
BEH,@GVRLOS,True,,0,False
COKNO,COKNO,True,,0,False
COTAN,COTAN,True,,0,False
CS0018,@GCS0027,True,,0,False
CS0027,CS000009,True,,0,False
CS0049,CS000032,True,,0,False
CS0069,CS000055,True,,0,False
CS0109,CS000201,True,,0,False
CS0134,CS000233,True,,0,False
CS0159,CS000263,True,,0,False
CSZIMP,CSZIMP,True,,0,False
DATHEM,DATHEM,True,,0,False
DATMAN,@GDATNCH,True,,0,False
DATMAN,@GDATSPO,True,,0,False
DATNEU,DATNEU,True,,0,False
DATNEO,DATNEO,True,,0,False
DATPSY,DATPSY,True,,0,False
DATPYN,DATPYN,True,,0,False
DATPSO,DATPSO,True,,0,False
DATRAD,DATRAD,True,,0,False
DATTRM,DATTRM,True,,0,False
DATVAA,DATVAA,True,,0,False
DBCCTC,DBCCTC,True,,0,False
DBCCHI,DBCCHI,True,,0,False
DBCCAR,DBCCAR,True,,0,False
DBCGEV,DBCGEV,True,,0,False
DBCHEM,DBCHEM,True,,0,False
DBCINT,DBCINT,True,,0,False
ZZZ,@GDBCGEV,True,,0,False
ZZZ,@GDBCMMW,True,,0,False
DBCKEY,@GDBCINT,True,,0,False
DBCKEY,@GDBCOOG,True,,0,False
DBCKEY,@GDBCPSO,True,,0,False
DBCKEY,@GDBCPSY,True,,0,False
DBCKEY,@GDBCRAD,True,,0,False
DBCKEY,@GDBCRTH,True,,0,False
DBCKNO,DBCKNO,True,,0,False
DBCLON,DBCLON,True,,0,False
DBCMMW,DBCMMW,True,,0,False
DBCNCH,DBCNCH,True,,0,False
DBCNEU,DBCNEU,True,,0,False
DBCPSO,DBCPSO,True,,0,False
DBCREU,DBCREU,True,,0,False
DBCRAD,DBCRAD,True,,0,False
DEBADM,DEBADM,True,,0,False
DIENST,@GAKVTRI,True,,0,False
DIEA1,KZDIEA1,True,,0,False
DIENST,@GARCMDW,True,,0,False
DIENST,@GAOIC,True,,0,False
DIENST,@GCS0067,True,,0,False
DIENST,@GCSACSR,True,,0,False
DIENST,@GFCTGEG,True,,0,False
DIENST,@GKEUMDW,True,,0,False
DIENST,@GMEDADM,True,,0,False
&DECOP,AEIJGERM,True,,0,False
ZH0418,@GZH1398,True,,0,False
DIENST,@GZRGMAN,True,,0,False
DIET,DIET,True,,0,False
DONCO,DONCO,True,,0,False
DSMH,DSMH,True,,0,False
FINCRE,@GAZR,True,,0,False
FINCRE,@GFINCR+,True,,0,False
FNEND+,END,True,,0,False
FUN,@GFUNKNO,True,,0,False
ZZZ,@GCS0109,True,,0,False
ZZZ,@GONDGEC,True,,0,False
CS0154,CS000259,True,,0,False
FUN,@GFUNGYN,True,,0,False
ZZZ,@GDATIIF,True,,0,False
FUN,@GFUNKNF,True,,0,False
ZZZ,@GFUNMDL,True,,0,False
FUNDER,FUNDER,True,,0,False
FUNECH,FUNECH,True,,0,False
ZZZ,@GCS0110,True,,0,False
FUNGER,FUNGER,True,,0,False
FUNGYN,FUNGYN,True,,0,False
FUNLON,FUNLON,True,,0,False
FUNRTH,FUNRTH,True,,0,False
FUNOOG,FUNOOG,True,,0,False
FUNURO,FUNURO,True,,0,False
FYSTHP,FYSTHP,True,,0,False
GGZ,@GGGZAMB,True,,0,False
ZH0416,@GZH0472,True,,0,False
ZZZ,@GDATIMM,True,,0,False
GGZBEH,@GGGZPSY,True,,0,False
GGZBEH,@GGGZKPS,True,,0,False
GGZDAG,GGZDAG,True,,0,False
GGZCO,GGZCO,True,,0,False
GGZROM,GGZROM,True,,0,False
GGZPSY,GGZPSY,True,,0,False
GGZSPK,GGZSPK,True,,0,False
GGZSK,GGZSK,True,,0,False
GGZVPK,GGZVPK,True,,0,False
GGZVPL,GGZVPL,True,,0,False
ZZZ,@GFUNGER,True,,0,False
