GRPUSRCODE,USERCODE,USERBLOKIMAGE,GROUPBLOKIMAGE
ZH001407,RWIJNHOV,False,True
ZH001407,RWOUDENB,False,True
ZH001407,00000259,False,True
ZH001407,00000182,False,True
ZH001407,SACHOYAN,False,True
ZH001407,SALDROVA,False,True
ZH001407,SAMBALAV,False,True
ZH001407,SBAAN4,False,True
ZH001407,00000342,False,True
ZH001407,SBEEKER2,False,True
ZH001407,00000300,False,True
ZH001407,00000223,False,True
ZH001407,00000129,False,True
ZH001407,SBILECEN,False,True
ZH001407,ZH000050,False,True
ZH001407,SBONT3,False,True
ZH001407,00000192,False,True
ZH001407,SBOS4,False,True
ZH001407,SBOUDKHI,False,True
ZH001407,SBOUTER,False,True
ZH001407,SBRAITHW,False,True
ZH001407,SBREUGEM,False,True
ZH001407,SBRIEDE,False,True
ZH001407,SBROUW14,False,True
ZH001407,SCOHEN5,False,True
ZH001407,SCOLLARD,False,True
ZH001407,SDIEPEVE,False,True
00000413,MEPSKAMP,False,True
ZH000783,DDONKERV,False,False
ZH000681,EBAKKE21,False,False
ZH000774,MZOCK,False,False
ZH000774,RSCHWART,False,False
ZH000774,MKOOLHOF,False,False
ZH000774,UKEMPER2,False,False
ZH000774,JHOGEND2,False,False
00000025,CEMMELOT,False,False
ZH000985,BKROL,True,False
ZH001407,00000428,False,True
00000413,EMEIJE18,False,True
ZH001386,MHAVERK5,False,False
ZH000821,JHAVERK2,False,False
ZH000825,MJUFFERM,False,False
ZH000873,00000537,True,False
ZH000896,00000545,True,False
ZH000758,00000552,True,False
ZH000818,00000560,True,False
ZH000818,00000561,True,False
ZH000818,00000562,True,False
ZH001390,00000562,True,False
ZH001390,00000563,True,False
ZH000818,00000563,True,False
ZH000818,00000564,True,False
ZH000787,KRIJKSEN,False,False
ZH000971,MJANSE28,False,False
ZH001064,RBORNEMA,False,True
ZH000758,JBERG10,False,False
00000025,MSING,False,False
ACCBEH,00000588,False,False
BAPEPD,00000588,False,False
ZH000012,00000588,False,False
BAPDOC,00000588,False,False
ZH000399,00000588,False,False
APBFUN,YBAKKER2,False,False
APBFUN,00000588,False,False
ZH001509,00000465,True,False
ZH000683,00000466,True,False
00000025,COTTER,False,False
00000025,CSPRENGE,False,False
00000025,CWIJK4,False,False
00000025,DSLAGMA2,False,False
00000025,ESMIT16,False,False
00000025,HTERLOUW,False,False
00000025,JWEUSTEN,False,False
00000025,MGRAAF22,False,False
00000025,MHENDRI4,False,False
00000025,MVELDE9,False,False
00000025,MHUIZEN,False,False
00000025,MKEIJZE8,False,False
00000025,PETTEM,False,False
00000025,RSWINKEL,False,False
00000025,SKASHEFI,False,False
00000025,ZCORBETT,False,False
00000025,ZPBH,False,False
ZH000782,00000531,True,False
ZH000787,AJOL,False,False
ZH000985,AKOSTE14,False,False
ZH000985,00000588,False,False
ZH000985,MHURK2,False,False
ZH000985,MSING,False,False
00000306,MPOL6,False,False
00000306,SHARDIEK,False,False
00000306,CMAASSEN,False,False
00000413,YCHAIGNE,False,True
00000413,SBEEKER2,False,True
00000413,JEVERS10,False,True
00000413,GTIJSSEL,False,True
00000514,CKAPPELL,False,False
ZH001409,00000528,False,True
ZH001409,00000529,False,True
ZH001409,MTRIEST2,False,True
ZH001407,AWESTREN,False,True
ZH000681,AREIJER2,False,False
ZH000683,AREIJER2,False,False
ZH000676,00000478,False,False
ZH000758,00000486,True,False
ZH000787,00000486,True,False
ZH000730,00000486,True,False
ZH000681,00000486,True,False
ZH000683,00000486,True,False
ZH001407,00000536,False,True
ZH001390,00000536,False,False
ZH000818,00000536,False,False
00000252,MVELTHU4,False,False
00000413,AVILASI,False,True
ZH001064,DRIDDER,False,True
ZH000676,00000482,False,False
ZH000818,00000487,True,False
ZH000774,SLINDEN,False,False
ZH000067,EHUIJBOO,False,True
ZH001064,LKOUTERI,False,True
APBFUN,TBATENB2,False,False
ZH001509,00000599,True,False
ZH001407,AAALBERT,False,True
ZH001407,AABRAHAM,False,True
ZH001407,AANTONIS,False,True
ZH001407,AARETS3,False,True
ZH001407,ABAKKER9,False,True
ZH001407,00000160,False,True
