ConfiguredWorkContextId,SegmentId,Disabled
CS00000153,CS00000224,False
CS00000154,DT00000007,False
CS00000155,CS00000118,False
CS00000157,CSA018,False
CS00000158,DBCGGZ,False
CS00000158,GGZVAL,False
CS00000157,CSA043,False
CS00000159,CS00000069,False
CS00000158,VALIDATI,False
CS00000160,CS00000271,False
CS00000160,CS00000224,False
CS00000163,GGZ,False
CS00000163,PSO,False
CS00000164,LBZ,False
CS00000165,COMPL,False
CS00000165,INFPRV,False
CS00000166,CS00000014,False
CS00000167,CS00000218,False
CS00000166,CS00000042,False
CS00000076,OPN,False
CS00000077,HERHAL,False
CS00000077,ICVOI,False
CS00000077,MMB,False
CS00000077,VAV,False
CS00000077,VKV,False
CS00000077,VVO,False
CS00000080,LIJNEN,False
CS00000080,TOP,False
CS00000082,NU,False
CS00000090,CS00000007,False
CS00000090,CS00000023,False
CS00000098,CS00000168,False
CS00000101,TRFWERK,True
CS00000104,ACCES00001,False
CS00000110,CS00000062,False
CS00000113,KMH,False
CS00000114,MMW,False
CS00000118,GEV,False
CS00000126,CS00000028,False
CS00000131,GEV,False
CS00000138,DT00000001,False
CS00000146,DT00000002,True
CS00000156,CS00000114,False
CS00000163,PSY,False
CS00000167,CS00000271,False
CS00000169,PREZIES,False
CS00000170,CS00000036,False
CS00000170,CS00000037,False
CS00000170,CS00000035,False
CS00000170,CS00000068,False
CS00000170,CS00000070,False
CS00000170,CS00000072,False
CS00000170,CS00000085,False
CS00000170,CS00000086,False
CS00000170,CS00000183,False
CS00000171,PREZIES,False
CS00000172,PREZIES,False
CS00000173,INFPRV,False
CS00000173,PREZIES,False
CS00000174,INFPRV,False
CS00000175,INFPRV,False
CS00000176,VRLIJST,False
CS00000175,PREZIES,False
CS00000177,CS00000021,False
CS00000177,CS00000044,False
CS00000177,CS00000046,False
CS00000177,CS00000064,False
CS00000177,CS00000066,False
CS00000177,CS00000068,False
CS00000177,CS00000067,False
CS00000178,CS00000271,False
CS00000179,GROUPER,False
CS00000178,CS00000224,False
CS00000180,CS00000218,False
CS00000181,CS00000034,False
CS00000180,CS00000271,False
CS00000184,CS00000218,False
CS00000184,CS00000224,False
CS00000184,CS00000271,False
CS00000185,CS00000002,False
CS00000187,CS00000218,False
CS00000187,CS00000224,False
CS00000187,CS00000271,False
CS00000188,CS00000022,False
CS00000188,CS00000033,False
CS00000188,CS00000034,False
CS00000188,CS00000051,False
CS00000188,CS00000060,False
CS00000188,CS00000061,False
CS00000188,CS00000063,False
CS00000188,CS00000068,False
CS00000188,CS00000075,False
CS00000188,CS00000089,False
CS00000188,CS00000092,False
CS00000188,CS00000097,False
CS00000188,CS00000093,False
CS00000188,CS00000106,False
CS00000188,CS00000114,False
CS00000188,CS00000118,False
CS00000188,CS00000115,False
CS00000188,CS00000140,False
CS00000188,CS00000144,False
CS00000188,CS00000171,False
CS00000188,CS00000187,False
CS00000188,CS00000182,False
CS00000188,CS00000245,False
CS00000188,CS00000222,False
CS00000188,CS00000250,False
CS00000189,DCR,False
CS00000189,DOCUMENT,False
CS00000189,DOSSIER,False
CS00000190,CS00000218,False
CS00000190,CS00000271,False
CS00000191,DT00000004,False
CS00000190,CS00000227,False
CS00000192,CS00000199,False
CS00000192,CS00000006,False
CS00000193,CS00000004,False
CS00000193,CS00000012,False
CS00000193,CS00000019,False
CS00000193,CS00000021,False
CS00000194,CS00000006,False
CS00000195,DBCGGZ,False
CS00000195,EPPATOVZ,False
CS00000195,GGZVAL,False
CS00000195,GROUPER,False
CS00000195,VALIDATI,False
CS00000197,CS00000218,False
CS00000200,CS00000141,False
CS00000199,CS00000155,False
CS00000201,CS00000012,False
CS00000202,AMBULANT,False
CS00000202,DBCGGZ,False
CS00000202,EPPATOVZ,False
CS00000098,CS00000143,False
CS00000097,CSA075,False
CS00000077,VERSCH,False
CS00000101,PSY,True
CS00000101,SEKSUOLOGI,False
CS00000102,SEKSUOLOGI,False
CS00000102,ZPPAT,False
CS00000109,CS00000065,True
CS00000110,CS00000028,False
CS00000113,GGZ,True
CS00000113,MMW,False
CS00000114,GGZGV,True
CS00000114,PSY,True
CS00000116,PSO,False
CS00000118,MSW,False
CS00000122,CS00000018,False
CS00000127,CS00000028,False
CS00000102,MMW,False
CS00000129,GGZ,False
CS00000130,CS00000028,False
CS00000134,CS00000010,False
CS00000137,DT00000001,False
CS00000145,CS00000218,True
CS00000146,DT00000001,True
CS00000153,CS00000271,False
CS00000156,CS00000094,False
CS00000162,CS00000158,False
CS00000164,DCR,False
CS00000170,CS00000029,False
CS00000170,CS00000064,False
CS00000135,CS00000218,False
CS00000172,INFPRV,False
CS00000174,PREZIES,False
CS00000177,CS00000062,False
CS00000178,CS00000218,False
CS00000182,DOCUMENT,False
CS00000186,DWH2,False
CS00000188,CS00000048,False
CS00000188,CS00000066,False
CS00000188,CS00000102,False
CS00000188,CS00000139,False
CS00000188,CS00000244,False
CS00000189,VRLIJST,False
CS00000193,CS00000006,False
CS00000193,CS00000020,False
CS00000177,CS00000061,False
CS00000197,CS00000271,False
CS00000198,EPISODE_DBCPER,False
CS00000206,AMBULANT_VERRSEC,False
CS00000206,FAKTUUR_VERRSEC,False
CS00000206,OPNAME_OPNMUT,False
CS00000208,CS0102,False
CS00000208,CS0104,False
CS00000208,CS0142,False
CS00000208,CS0150,False
CS00000208,CS0153,False
CS00000208,CS0155,False
CS00000208,CS0157,False
CS00000208,CSA022,False
CS00000209,CS00000021,False
CS00000209,CS00000041,False
CS00000210,CS00000021,False
CS00000210,CS00000047,False
CS00000210,CS00000084,False
CS00000211,CS00000047,False
CS00000211,CS00000082,False
CS00000211,CS00000084,False
CS00000211,CS00000088,False
CS00000212,CS00000077,False
CS00000202,CSFAKINV,False
CS00000212,CS00000084,False
CS00000212,CS00000251,False
CS00000214,CS00000218,False
CS00000213,RONTGEN,False
CS00000215,CS00000098,False
CS00000215,CS00000124,False
CS00000217,FUN,False
CS00000217,NEU,False
CS00000218,CS00000050,False
CS00000219,CS00000050,False
CS00000219,CS00000056,False
CS00000219,CS00000099,False
CS00000219,CS00000124,False
CS00000222,FUN,False
CS00000227,CAR,False
CS00000226,LON,False
CS00000227,NEU,False
CS00000228,CAR,False
CS00000228,NEU,False
CS00000230,FUN,False
CS00000230,LON,False
CS00000231,FUN,False
CS00000231,NEU,False
CS00000232,LON,False
CS00000217,CAR,False
CS00000234,FUN,False
CS00000234,CAR,False
CS00000236,CS00000224,False
CS00000236,CS00000218,False
CS00000237,CS00000056,False
CS00000239,CS00000056,False
CS00000239,CS00000087,False
CS00000241,CS00000015,False
CS00000241,CSMMBP,False
CS00000241,LAK,False
CS00000243,CS00000224,False
CS00000244,BLDTRAN,False
CS00000244,ORDER,False
CS00000244,PATH,False
CS00000245,CSMMBK,False
CS00000249,LAB,False
CS00000251,LAB,False
CS00000253,FUN,False
CS00000253,LABMMB,False
CS00000253,LABKCL,False
CS00000254,ORDER,False
CS00000255,LABMMB,False
CS00000256,ORDER,False
CS00000257,FUN,False
CS00000111,CS00005087,True
CS00000113,SEKSUOLOGI,False
CS00000114,GEV,False
CS00000114,VDD,False
CS00000116,GEV,False
CS00000118,PSO,False
CS00000120,CS00000002,False
CS00000128,GEV,False
CS00000129,GEV,False
CS00000131,PSO,False
CS00000133,RESPLAN,False
CS00000141,ARCHIEF,False
CS00000144,TREATMEN,False
CS00000150,CARE,False
CS00000153,CS00000218,False
CS00000160,CS00000218,False
CS00000161,CS00000158,False
CS00000167,CS00000224,False
CS00000169,INFPRV,False
CS00000170,CS00000184,False
CS00000170,CS00000185,False
CS00000177,CS00000043,False
CS00000177,CS00000053,False
CS00000180,CS00000224,False
CS00000181,CS00000036,False
CS00000188,CS00000017,False
CS00000188,CS00000035,False
CS00000188,CS00000085,False
CS00000188,CS00000096,False
CS00000188,CS00000145,False
CS00000188,CS00000209,False
CS00000190,CS00000224,False
CS00000193,CS00000002,False
CS00000194,CS00000199,False
CS00000196,CS00000022,False
CS00000202,CSFAKOND,False
CS00000205,CS00000271,False
CS00000208,CS0103,False
CS00000208,CS0149,False
CS00000208,CS0154,False
CS00000208,CSA072,False
CS00000209,CS00001064,False
CS00000210,CS00000088,False
CS00000211,CS00000083,False
CS00000212,CS00000047,False
CS00000212,CS00000204,False
CS00000215,CS00000052,False
CS00000217,LON,False
CS00000218,CS00000124,False
CS00000220,FUN,False
CS00000226,FUN,False
CS00000228,FUN,False
CS00000229,NEU,False
CS00000232,CAR,False
CS00000233,LON,False
CS00000236,CS00000271,False
CS00000238,CS00000099,False
CS00000241,CSMMBK,False
CS00000243,CS00000218,False
CS00000244,LABMMB,False
CS00000250,LAB,False
CS00000252,ORDER,False
CS00000255,LABKCL,False
CS00000256,LABMMB,False
CS00000257,LABKCL,False
CS00000258,LABMMB,False
CS00000259,LABKCL,False
CS00000259,FUN,False
CS00000260,LABKCL,False
CS00000261,MAPS,False
CS00000264,DT00000001,False
CS00000265,CS00000147,False
CS00000265,CS00000178,False
CS00000266,APOTHEEK,False
CS00000266,MEDICAT,False
CS00000267,CS00000202,False
CS00000268,CS00000224,False
CS00000268,CS00000271,False
CS00000271,ALG,False
CS00000271,ANTBELEID,False
CS00000273,ALG,False
CS00000274,ALG,False
CS00000274,APO,False
CS00000276,ANTBELEID,False
CS00000278,APO,False
CS00000280,CS00000218,False
CS00000283,CS00000224,False
CS00000282,CS00000023,False
CS00000285,CS00000043,False
CS00000286,CS00000271,False
CS00000276,ALG,False
CS00000288,LABMMB,False
CS00000288,LABKCL,False
CS00000292,FUN,False
CS00000293,ORDER,False
CS00000294,PATH,False
CS00000294,ORDER,False
CS00000295,CS00000046,False
CS00000298,CS00000224,False
CS00000301,OK,False
CS00000301,OKVCAR,False
CS00000301,OKVCHI,False
CS00000301,OKVGYN,False
CS00000301,OKVLON,False
CS00000301,OKVONC,False
CS00000301,OKVREV,False
CS00000301,OKVTAN,False
CS00000301,OKVURO,False
CS00000302,CS00000174,False
CS00000304,OKTRAN,False
CS00000241,BLDTRAN,False
CS00000304,OKVCTC,False
CS00000304,OKVKAA,False
CS00000304,OKVGYN,False
CS00000304,OKVMDL,False
CS00000304,OKVONC,False
CS00000304,OKVURO,False
CS00000304,OPN,False
CS00000304,TOP,False
CS00000305,OKVCAR,False
CS00000305,OKVCHI,False
CS00000168,ACCES00001,False
CS00000171,INFPRV,False
CS00000177,CS00000063,False
CS00000183,CSDOC,False
CS00000188,CS00000059,False
CS00000188,CS00000111,False
CS00000189,CONSULT,False
CS00000193,CS00000010,False
CS00000197,CS00000224,False
CS00000205,CS00000218,False
CS00000208,CS0148,False
CS00000208,CSA073,False
CS00000210,CS00000251,False
CS00000211,CS00000251,False
CS00000214,CS00000224,False
CS00000218,CS00000052,False
CS00000221,FUN,False
CS00000228,LON,False
CS00000232,FUN,False
CS00000236,CS00000333,False
CS00000241,LAB,False
CS00000245,CSMMBP,False
CS00000254,FUN,False
CS00000257,ORDER,False
CS00000262,CS00000060,False
CS00000266,ZINDEX,False
CS00000271,APO,False
CS00000276,APO,False
CS00000284,LAB,False
CS00000288,PATH,False
CS00000297,CS00000007,False
CS00000301,OKVKAA,False
CS00000301,VVO,False
CS00000304,OKVKNO,False
CS00000305,OKSUB,False
CS00000305,OKVMDL,False
CS00000305,OKVNCH,False
CS00000305,OKVONC,False
CS00000305,OKVURO,False
CS00000305,OKVTAN,False
CS00000306,OKVCHI,False
CS00000306,OKVCTC,False
CS00000306,OKVCAR,False
CS00000306,OKVLON,False
CS00000306,OKVKNO,False
CS00000306,OKVPLA,False
CS00000306,OKVTAN,False
CS00000306,OKVURO,False
CS00000307,OK,False
CS00000307,OKTRAN,False
CS00000307,OKVKNO,False
CS00000307,OKVLON,False
CS00000307,OKVKIN,False
CS00000307,OKVOOG,False
CS00000307,OKVNEU,False
CS00000308,OK,False
CS00000308,OKSUB,False
CS00000308,OKTRAN,False
CS00000308,OKVCAR,False
CS00000308,OKVCHI,False
CS00000308,OKVNCH,False
CS00000308,OKVOOG,False
CS00000308,OKVONC,False
CS00000308,OKVREV,False
CS00000308,OKVTAN,False
CS00000313,CS00000224,False
CS00000314,DT00000002,False
CS00000313,CS00000271,False
CS00000316,OPN,False
CS00000318,OKTO,False
CS00000322,CS00000218,False
CS00000323,CS00000240,False
CS00000324,PATIENT,False
CS00000324,OUTPUTMO,False
CS00000325,CS00000011,False
CS00000329,CS00000235,False
CS00000329,CS00000254,False
CS00000329,CS00000252,False
CS00000329,CS00000258,False
CS00000329,CS00000269,False
CS00000332,ICORD,False
CS00000332,PDMS_IC,False
CS00000334,CS00000022,False
CS00000335,ICBESC,False
CS00000335,ICMED,False
CS00000336,ICMED,False
CS00000336,PDMS_IC,False
CS00000337,IC,False
CS00000337,ICORD,False
CS00000337,PDMS_IC,False
CS00000338,PDMS_IC,False
CS00000339,ICMED,False
CS00000339,ICVER,False
CS00000340,IC,False
CS00000340,ICORD,False
CS00000305,OKVORT,False
CS00000341,ICMED,False
CS00000342,CS00000026,False
CS00000342,CS00000027,False
CS00000342,CS00000032,False
CS00000342,CS00000049,False
CS00000342,CS00000112,False
CS00000342,CS00000281,False
CS00000342,CS00000247,False
CS00000342,CS00000203,False
CS00000343,CS00000017,False
CS00000346,NEOVPK,False
CS00000346,NICUV11,False
CS00000346,NICUV13,False
CS00000346,NICUV14,False
CS00000346,NICUV19,False
CS00000346,NICUV22,False
CS00000346,NICUV6,False
CS00000346,NICUV9,False
CS00000346,NICUV8,False
CS00000347,CS00000015,False
CS00000349,ACCES00001,False
CS00000350,PDMS,False
CS00000350,TELEMETRIE,False
CS00000352,ALG,True
CS00000351,BEHEERPDMS,True
CS00000202,DENTAL,False
CS00000207,CS00000203,False
CS00000208,CS0108,False
CS00000208,CS0137,False
CS00000208,CS0151,False
CS00000208,CS0159,False
CS00000208,CSA023,False
CS00000209,CS00000032,False
CS00000210,CS00000082,False
CS00000210,CS00000204,False
CS00000211,CS00000021,False
CS00000212,CS00000021,False
CS00000212,CS00000082,False
CS00000212,CS00000088,False
CS00000215,CS00000051,False
CS00000215,CS00000056,False
CS00000215,CS00000118,False
CS00000218,CS00000098,False
CS00000218,CS00000099,False
CS00000219,CS00000051,False
CS00000225,FUN,False
CS00000226,CAR,False
CS00000226,NEU,False
CS00000229,LON,False
CS00000230,CAR,False
CS00000230,NEU,False
CS00000233,FUN,False
CS00000233,NEU,False
CS00000234,LON,False
CS00000238,CS00000056,False
CS00000238,CS00000087,False
CS00000240,LAB,False
CS00000241,MMB,False
CS00000242,DT00000006,False
CS00000244,LABKCL,False
CS00000246,LAB,False
CS00000248,LAB,False
CS00000252,LABMMB,False
CS00000253,ORDER,False
CS00000255,FUN,False
CS00000256,LABKCL,False
CS00000257,LABMMB,False
CS00000258,ORDER,False
CS00000260,ORDER,False
CS00000263,CS00000218,False
CS00000265,CS00000094,False
CS00000266,LOGISTK,False
CS00000267,CS00000081,False
CS00000268,CS00000218,False
CS00000270,CS00000010,False
CS00000272,ANTBELEID,False
