Id,OwnerId,OwnerType,SettingId,SettingSubId,SegmentClassId,ContextType,Inverted
CS00001416,COURO,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,ZP_EZORGPCAT,6,False
CS00001415,COURO,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,ECONSULT_POSTBOX,6,False
CS00001418,COURO,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_SPEC,6,False
CS00001417,COURO,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,RP_PROGRAMDEFINITION,6,False
CS00001420,COURO,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,WEBAGEN_AGVRWCAT,6,False
CS00001421,COURO,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,VRLIJST_VRLCAT,6,False
CS00001423,COURO,G,DOSS_NOODPREXEMP,,DOSSIER_SUBDOSS,0,False
CS00001428,COURO,G,OND_RECHTEN,MM_SCANDOC,MULTIMED_SUBCATGO,1,False
CS00001430,CS0006,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,DOSSIER_SUBDOSS,6,False
CS00001431,CS0006,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,ORDERCOM_ORDCAT,6,False
CS00001432,CS0006,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,CONSULT_ACCESS,6,False
CS00001433,CS0006,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,VRLIJST_VRLCAT,6,False
CS00001436,CS0006,G,AG_US_BERAFD,,AGENDA_AGENDA,0,False
CS00001435,CS0006,G,AG_US_BEK,,AGENDA_AGENDA,0,False
CS00001438,CS0006,G,AG_US_MAAK,,AGENDA_AGENDA,0,False
CS00001443,CS0008,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,SYSTEM_DATASETCAT,1,False
CS00001445,CS0008,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,ZISCON_MODULE,6,False
CS00001841,DATKLG,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,DOSSIER_SUBDOSS,0,False
CS00001843,DATKLG,G,DOSS_WSETTINGS,,DOSSIER_WERKSETTING,0,False
CS00001847,DATKNO,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_SPEC,0,False
CS00001850,DATKNO,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,DOSSIER_SUBDOSS,1,False
CS00001853,DATLON,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,VRLIJST_VRLCAT,1,False
CS00001857,DATLON,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_SPEC,1,False
CS00001856,DATLON,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_SPEC,0,False
CS00001863,DATMAN,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,VRLIJST_VRLCAT,0,False
CS00001865,DATMAN,G,AG_US_HIST,,AGENDA_AGENDA,0,True
CS00001869,DATMAN,G,OND_RECHTEN,MM_SCANDOC,MULTIMED_MULTCATE,0,True
CS00001867,DATMAN,G,OND_RECHTEN,DCR_RECHT_C,CODELYST_LIJSTEN,1,True
CS00001871,DATMAN,G,OND_RECHTEN,MM_SCANDOC,MULTIMED_SUBCATGO,0,False
CS00001878,DATMAN,G,WI_EPDDASHBOARD,,CSZISLIB_SPEC,0,True
CS00001880,DATMDL,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,VRLIJST_VRLCAT,0,False
CS00001883,DATMDL,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_SPEC,1,False
CS00001885,DATMDL,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,DOSSIER_SUBDOSS,1,False
CS00001886,DATMDL,G,DOSS_ISETTINGS,,DOSSIER_WERKSETTING,0,False
CS00001892,DATNCH,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_SPEC,1,False
CS00001895,DATNCH,G,DOSS_ISETTINGS,,DOSSIER_WERKSETTING,0,False
CS00001898,DATNEF,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,VRLIJST_VRLCAT,1,False
CS00001899,DATNEF,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,EPISODE_TRIALCAT,6,False
CS00001901,DATNEF,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_SPEC,0,False
CS00001907,DATNEO,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,VRLIJST_VRLCAT,1,False
CS00001910,DATNEO,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,DOSSIER_SUBDOSS,0,False
CS00001913,DATNEU,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,VRLIJST_VRLCAT,1,False
CS00001914,DATNEU,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,VRLIJST_VRLCAT,0,False
CS00001916,DATNEU,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_SPEC,0,False
CS00001734,DATCTC,G,DOSS_ISETTINGS,,DOSSIER_WERKSETTING,0,False
CS00001922,DATONC,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,VRLIJST_VRLCAT,0,False
CS00001927,DATONC,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,DOSSIER_SUBDOSS,1,False
CS00001928,DATONC,G,DOSS_WSETTINGS,,DOSSIER_WERKSETTING,0,False
CS00001929,DATOOG,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,EPISODE_TRIALCAT,6,False
CS00001931,DATOOG,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,VRLIJST_VRLCAT,1,False
CS00001937,DATOOG,G,DOSS_WSETTINGS,,DOSSIER_WERKSETTING,0,False
CS00001941,DATORT,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,DOSSIER_SUBDOSS,1,False
CS00001942,DATORT,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,DOSSIER_SUBDOSS,0,False
CS00001944,DATORT,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_SPEC,0,False
CS00001946,DATORT,G,DOSS_WSETTINGS,,DOSSIER_WERKSETTING,0,False
CS00001953,DATPLA,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,DOSSIER_SUBDOSS,1,False
CS00001957,DATPSO,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,DOSSIER_SUBDOSS,1,False
CS00001958,DATPSO,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_SPEC,0,False
CS00001959,DATPSO,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_SPEC,1,False
CS00001961,DATPSO,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,EPISODE_TRIALCAT,6,False
CS00001967,DATPSY,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,DOSSIER_SUBDOSS,1,False
CS00001973,DATPSY,G,AG_US_HIST,,AGENDA_AGENDA,0,False
CS00001974,DATPSY,G,DOSS_WSETTINGS,,DOSSIER_WERKSETTING,0,False
CS00001972,DATPSY,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,VRLIJST_VRLCAT,0,False
CS00001976,DATPYN,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,VRLIJST_VRLCAT,1,False
CS00001983,DATRAD,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,VRLIJST_VRLCAT,1,False
CS00001987,DATRAD,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_SPEC,0,False
CS00002134,DBCDER,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,EPISODE_TRIALCAT,6,False
CS00002139,DBCDER,G,AG_US_MAAK,,AGENDA_AGENDA,0,False
CS00002142,DBCDER,G,DOSS_NOODPREXEMP,,DOSSIER_SUBDOSS,6,False
CS00002143,DBCDER,G,DOSS_WSETTINGS,,DOSSIER_WERKSETTING,0,False
CS00002149,DBCGER,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,MULTIMED_MULTCATE,1,False
CS00002155,DBCGER,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,WEBAGEN_AGVRWCAT,6,False
CS00002157,DBCGER,G,AG_US_BEK,,AGENDA_AGENDA,0,False
CS00002158,DBCGER,G,AG_US_MAAK,,AGENDA_AGENDA,0,False
CS00002165,DBCGEV,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,MULTIMED_MULTCATE,1,False
CS00002171,DBCGEV,G,AG_US_ANN,,AGENDA_AGENDA,0,False
